source_id,teff_gspphot,logg_gspphot,lum_flame,radius_flame
766565763488128,6303.7944,4.2836,2.3232996,1.2712723
767635210604672,5794.2173,4.2911,1.7560723,1.3177872
774197920004736,4103.482,4.3605,0.15313238,0.7704454
779141427338496,5637.1895,4.6846,0.37540326,0.64281315
780137859764480,4460.73,4.8696,0.060555127,0.4138451
781619624071680,4406.5264,4.591,0.2344935,0.8259014
782371242779136,5501.2856,4.6125,0.3956939,0.70043904
790450076175104,4727.5317,4.7409,0.12916394,0.5374829
792992697476736,3548.6594,4.4702,0.056039922,0.63852304
793194561005824,3889.9639,4.4804,0.0875641,0.6535416
793233215607552,5241.392,4.6344,0.42958814,0.8013033
794126568840192,5474.223,4.1944,1.8106289,1.4946691
795432238896000,5817.5034,4.3453,1.2278655,1.0904632
